id,displayName,description,upgradeText,cost,growth,maxLevel,stat,kind,amount,prereqs,x,y,icon,root,isMeta,isCard,isActiveWeapon
solid,Solid,Periodically block 1 damage source,Reduce the block cooldown by 1s,60,1.46,5,BlockCooldown,Flat,10|-1|-1|-1|-1,parry;range_ext,26.5,12.5,solid,,1,1,0
alldmg,Raw Power,Increase all damage,Increase all damage further,180,1.47,6,AllDamageMultiplier,Percent,0.1,plunder,21,14,alldmg,,1,1,0
parry,Parry,Chance to parry melee damage when facing your attacker,Increase parry chance,60,1.5,5,ParryChance,Flat,0.05,counter;solid,26.5,11.5,parry,,1,1,0
counter,Counterstrike,Increase parry damage,Increase parry damage further,90,1.65,4,CounterstrikePercent,Flat,0.25|0.25|0.5|1,parry,26.5,10.5,counter,,1,1,0
medpack,Field Medic,Increase Health Pack heal amount,Increase Health Pack heal amount further,60,1.46,6,HealthPackHealPercent,Flat,0.05,butter,25.5,12.5,medpack,,1,1,0
horse_unlock,Summon Mount,Summon a mount on demand to ride into battle. Press X to summon.,,150,1,1,SummonMountUnlocked,Flat,1,sword_dmg;horse_health;horse_speed,25,19,horse_unlock,1,0,1,1
horse_health,Barded Steed,Increase your horse's max health,Increase your horse's max health further,60,1.4,5,HorseMaxHealthMultiplier,Percent,0.2,horse_unlock;horse_heal,25,20,horse_health,,1,1,0
horse_speed,Thoroughbred,Increase your horse's speed,Increase your horse's speed further,60,1.4,5,HorseSpeedMultiplier,Percent,0.1,horse_unlock,26,19,horse_speed,,1,1,0
horse_heal,Stable Diet,Health Packs your horse runs over also heal the horse,,90,1,1,HorseHealFromPacks,Flat,1,horse_health,25,21,horse_heal,,1,1,0
axe_unlock,Throwing Axe,"Unlock the throwing axe: hold aim to wind up, attack to hurl it through enemies in a line",,60,1,1,AxeThrowUnlocked,Flat,1,sword_dmg,22,21,axe_unlock,1,0,1,1
axe_dmg,Heavier Head,Increase throwing axe damage,Increase throwing axe damage further,75,1.4,7,AxeThrowDamage,Flat,5,axe_unlock,23,21,axe_dmg,,1,1,0
axe_pierce,Skull Splitter,Throws pierce through more enemies,Pierce through one more enemy,90,1.47,5,AxeThrowPierceCount,Flat,1,axe_unlock,22,22,butter,,1,1,0
axe_width,Wide Arc,Widen the throw's path,Widen the throw's path further,90,1.4,4,AxeThrowWidth,Flat,0.25,axe_pierce,22,23,range_ext,,1,1,0
axe_knock,Crushing Throw,Increase throw knockback,Increase throw knockback further,75,1.4,4,AxeThrowKnockback,Flat,4,axe_unlock,21,22,axe_knock,,1,1,0
axe_charge,Wound Up,More throw damage per second wound up,+1 max charge level,90,1.44,3,AxeThrowMaxChargeLevels;AxeThrowChargeDamageBonus,Flat;Flat,1;0.25,axe_dmg,23,22,axe_charge,,1,1,0
axe_boomerang,Boomerang,"Your axe returns to you after striking terrain, spending its pierce, or flying its full range — hitting enemies on the way back too",,120,1,1,AxeBoomerangUnlocked,Flat,1,axe_charge,23,23,axe_boomerang,,1,1,0
pain_1,Pain into Power,Damage taken while charging any attack is added to that attack's damage,Convert more damage taken into power,90,1.5,4,PainIntoPowerPercent,Flat,0.5|0.25|0.25|0.25,axe_knock,21,23,pain_1,,1,1,0
rage_fury,Boiling Blood,Build rage faster,Build rage even faster,75,1.4,5,RageGainMultiplier,Percent,0.15,axe_width,22,24.5,rage_fury,,1,1,0
rage_retain,Slow Burn,Rage lingers longer before draining,Rage lingers even longer,90,1.4,4,RageRetentionMultiplier,Percent,0.2,rage_fury,23,24.5,rage_retain,,1,1,0
ult_unlock,Inner Giant,"Grow in size and power. You gain increased damage and knockback, and trample enemies just by touching them. Press Q/Y to activate at 100% charge.",,300,1,1,UltimateUnlocked,Flat,1,sword_dmg;ult_dur;ult_size;ult_dr,21,18.5,ult_unlock,1,0,1,1
ult_dur,Enduring Giant,Increase ultimate duration,Increase ultimate duration further,150,1.5,5,UltimateDurationSeconds,Flat,1,ult_unlock,21,19.5,ult_dur,,1,1,0
ult_size,Colossal Growth,Grow even larger during ultimate,Grow larger still,200,1.6,4,UltimateBerserkerSizeMultiplier,Flat,1.25|1.5|1.75|2,ult_unlock,20,18.5,ult_size,,1,1,0
ult_dr,Thick Skin,Take reduced damage during ultimate,Take even less damage,120,1.4,5,UltimateBerserkerDamageReduction,Flat,0.1,ult_unlock,20,19.5,ult_dr,,1,1,0
dodge,Charge,Unlock a charging dash forward. Press Ctrl to activate.,,60,1,1,DodgeUnlocked,Flat,1,sword_dmg;dodge_knockback;dodge_cooldown;dodge_damage,19.5,16.5,dodge,1,0,1,1
dodge_cooldown,Adrenaline,Reduce Charge cooldown,Reduce Charge cooldown further,45,1.3,4,DodgeCooldown,Flat,-1,dodge,18.5,17.5,dodge_cooldown,,1,1,0
dodge_damage,Trample,Charging through enemies deals damage,Increase damage dealt by charging through enemies,60,1.4,4,DodgeDamageMultiplier,Flat,0.25,dodge;dodge_chain,18.5,16.5,dodge_damage,,1,1,0
dodge_chain,Relentless Momentum,Killing an enemy with Charge reduces its cooldown by 1s,,90,1,1,DodgeChainCooldownReduction,Flat,1,dodge_damage,17.5,16.5,dodge_chain,,1,1,0
dodge_knockback,Shoulder Barge,Charging into enemies knocks them back,Increase knockback force further,60,1.3,4,DodgeKnockbackForce,Flat,8,dodge,19.5,17.5,dodge_knockback,,1,1,0
fort_arrow_slit,Arrow Slits,Fortress wall slits automatically fire arrows at approaching enemies,Faster firing & sharper arrows,40,1.4,4,FortArrowSlitsUnlocked;FortArrowSlitsDamage;FortArrowSlitsFireRate,Flat;Flat;Percent,1;8;0.15,fort_burning_oil;fort_spikes;sword_dmg,21.5,10.5,fort_arrow_slit,1,0,1,1
fort_burning_oil,Boiling Oil,A cauldron of boiling pitch mounted above the gate dumps flaming oil on enemy swarms,Wider oil puddle & higher burn damage,60,1.5,3,FortBurningOilUnlocked;FortBurningOilDamage,Flat;Flat,1;15,fort_arrow_slit,21.5,11.5,fort_burning_oil,,0,1,1
fort_spikes,Spike Barricades,Ground spike barricades impale enemies dealing 5x damage to ragdolled foes,Sharper spikes & wider coverage,50,1.4,4,FortSpikesUnlocked;FortSpikesDamage,Flat;Flat,1;10,fort_arrow_slit,20.5,10.5,fort_spikes,1,0,1,1
imbue_fire,Flame Imbuement,Periodic Fire Imbuement: weapon ignites dealing AoE explosions,Ignite more often with larger explosions,80,1.5,5,PeriodicFireUnlocked;PeriodicFireDamagePercent;PeriodicFireExplosionRadius;PeriodicFireCooldown;PeriodicFireDuration,Flat;Flat;Flat;Flat;Flat,1;0.35|0.45|0.55|0.65|0.75;4|4.5|5|5.5|6;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,26.5,10,imbue_fire,,1,1,1
imbue_ice,Frost Imbuement,Periodic Ice Imbuement: weapon freezes dealing slowing chill & freeze chance,Freeze more often with deeper chill,80,1.5,5,PeriodicIceUnlocked;PeriodicIceSlowPercent;PeriodicIceFreezeChance;PeriodicIceCooldown;PeriodicIceDuration,Flat;Flat;Flat;Flat;Flat,1;0.5|0.6|0.7|0.8|0.9;0.25|0.3|0.35|0.4|0.5;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,26.5,8,imbue_ice,,1,1,1
imbue_lightning,Storm Imbuement,Periodic Lightning Imbuement: faster attacks & chain lightning on hit,Surge more often with more chain bounces,80,1.5,5,PeriodicLightningUnlocked;PeriodicLightningChargeSpeed;PeriodicLightningBounces;PeriodicLightningDamagePercent;PeriodicLightningCooldown,Flat;Flat;Flat;Flat;Flat,1;0.25|0.35|0.45|0.55|0.65;2|3|4|5|6;0.5|0.6|0.7|0.8|0.9;-2|-1|-1|-1|0,sword_dmg,28.5,9,imbue_lightning,,1,1,1
imbue_impulse,Impulse Imbuement,Periodic Impulse Imbuement: hits blast enemies with massive kinetic fling,Fling more often with higher kinetic force,80,1.5,5,PeriodicImpulseUnlocked;PeriodicImpulseKnockbackForce;PeriodicImpulseCooldown;PeriodicImpulseDuration,Flat;Flat;Flat;Flat,1;25|30|35|40|50;-2|-1|-1|-1|0;0|0|1|1|2,sword_dmg,20.5,7,imbue_impulse,,1,1,1
earth_splitter,Earth Splitter,Final melee charge level: smashes the earth in a line of rock explosions dealing massive AoE damage,,200,1,1,EarthSplitterUnlocked,Flat,1,charge_unlock,26.5,9,earth_splitter,,1,1,0
