id,displayName,category,weapon,element,isUltimate,maxLevel,description,upgradeText,stat,kind,amount,icon,targetSlot,isDuo,prerequisiteElements
sword_lunge_mastery,Lunge Mastery,Weapon,sword,,0,1,Lunge deals +200% damage and gains +40% critical strike chance.,,SwordLungeDamageBonus;SwordLungeCritBonus,Percent;Flat,2.0;0.40,sword_dmg,,,
elem_light_tesla_spire,Tesla Spire,Elemental,,Lightning,0,4,Fortress discharges a lightning bolt every 5s.,Increases Tesla Spire damage,LightningTeslaSpireDamage,Flat,50|100|150|200,imbue_lightning
elem_ice_frost_step,Frost Step,Elemental,,Ice,0,4,Dashing chills nearby enemies for 3s.,Increases slow and attack speed reduction,IceFrostStepSlowPercent,Percent,0.2|0.3|0.4|0.5,imbue_ice
elem_ice_deep_freeze,Deep Freeze,Elemental,,Ice,0,1,Applying chill to an already chilled enemy freezes them solid.,,IceDeepFreezeUnlocked,Flat,1,freezedraw
elem_ice_shatter,Shatter,Elemental,,Ice,0,4,Frozen enemies take massive bonus damage from all hits.,Increases bonus damage to frozen foes,IceShatterBonus,Percent,2.0|3.0|4.0|5.0,icebreaker
elem_ice_permafrost,Permafrost,Elemental,,Ice,0,1,Fortress walls passively emit an aura that chills adjacent foes.,,IcePermafrostUnlocked,Flat,1,imbue_ice
elem_ice_ice_shards,Ice Shards,Elemental,,Ice,0,4,Ranged kills shatter enemies into an 8-way projectile burst.,Increases ice shard burst damage,IceShardsBurstDamage,Flat,50|60|70|80,brainfreeze
duo_thermal_shock,Thermal Shock,Element,,,0,1,Enemies afflicted by Fire and Ice take massive burst damage.,,DuoThermalShock,Flat,1,duo_thermal_shock,,TRUE,Fire|Ice
duo_plasma_overload,Plasma Overload,Element,,,0,1,Fire and Lightning cause explosions.,,DuoPlasmaOverload,Flat,1,duo_plasma_overload,,TRUE,Fire|Lightning
duo_superconductor,Superconductor,Element,,,0,1,Ice and Lightning create larger chain lightning.,,DuoSuperconductor,Flat,1,duo_superconductor,,TRUE,Ice|Lightning
fort_electrified_oil,Electrified Oil,Fortress,,,0,1,Boiling Oil combined with Lightning electrifies the oil.,,FortElectrifiedOil,Flat,1,fort_electrified_oil,,TRUE,Lightning
fort_permafrost_spikes,Permafrost Spikes,Fortress,,,0,1,Spiked Barricades combined with Ice chill enemies.,,FortPermafrostSpikes,Flat,1,fort_permafrost_spikes,,TRUE,Ice
